ticker,name,classification_status,evidence_type,comparison_eligibility,official_source_url,evidence_basis,review_reason
0015K0,TIGER 미국소비트렌드액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0017Y0,1Q 종합채권(AA-이상)액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(채권/국내 채권 만기미확인 AA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0019K0,TIME 미국나스닥100채권혼합50액티브,classified_derived,derived_master,N,,기초지수 명시; 자산군·투자대상 추출(채권/미국 채권 단기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token),
0025N0,TIGER TDF2045 적격,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(혼합자산/구성비율 미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, concentration token/default)",
0040X0,SOL 팔란티어미국채커버드콜혼합,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(채권/미국 국채 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (concentration token/default),
0040Y0,SOL 팔란티어커버드콜OTM채권혼합,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(채권/미국 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (concentration token/default),
0046A0,TIGER 미국초단기(3개월이하)국채,conflict_resolved,conflict_resolved,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 초단기 등급미확인); 충돌 해소: 출처 우선순위와 구조 필드 기준,
0047A0,TIGER 차이나테크TOP10,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/중국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default)",
0049K0,ACE 미국배당퀄리티채권혼합50,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(inverse); 자산군·투자대상 추출(채권/미국 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (concentration token/default),
0052S0,1Q 미국S&P500미국채혼합50액티브,classified_derived,derived_master,N,,기초지수 명시; 상품명 구조표시(inverse); 자산군·투자대상 추출(채권/미국 국채 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반,
0057H0,PLUS 미국S&P500미국채혼합50액티브,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token),
0060H0,TIGER 토탈월드스탁액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/글로벌 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0061Z0,RISE 단기특수은행채액티브,conflict_resolved,conflict_resolved,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(원자재/기타원자재 futures); 충돌 해소: 출처 우선순위와 구조 필드 기준,
0065G0,KODEX 차이나테크TOP10,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/중국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default)",
0067V0,TIGER 차이나글로벌리더스TOP3+,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/글로벌 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default)",
0073X0,FOCUS 알리바바미국채커버드콜혼합,classified_derived,derived_master,N,,기초지수 명시; 상품명 구조표시(covered_call); 자산군·투자대상 추출(채권/미국 국채 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (concentration token/default),
0074K0,KoAct K수출핵심기업TOP30액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default)",
0078V0,PLUS 미국로보택시,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0079X0,ACE BYD밸류체인액티브,classified_derived,official_index,N,https://www.aceetf.co.kr/info/report/1149,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0082V0,KODEX TDF2060액티브 적격,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(혼합자산/구성비율 미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0083S0,1Q 미국메디컬AI,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0084D0,KIWOOM 미국테크100월간목표헤지액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default)",
0085N0,ACE 미국10년국채액티브(H),classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, concentration token/default)",
0085P0,ACE 미국10년국채액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, concentration token/default)",
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default)",
0088N0,WON K-글로벌수급상위,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default)",
0089B0,PLUS 미국나스닥100미국채혼합50,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 단기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token),
0091C0,KODEX 미국10년국채액티브(H),classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, concentration token/default)",
0091M0,HANARO 27-06 회사채(AA-이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 AA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0092C0,SOL 27-12 회사채(AA-이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 AA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0094K0,TIGER 28-04 회사채(A+이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(주식/중국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반,
0094M0,RISE 코리아밸류업위클리고정커버드콜,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (FX token/default, concentration token/default)",
0094X0,1Q 샤오미밸류체인액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0098Z0,FOCUS 200,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default)",
0103T0,1Q K소버린AI,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0104H0,KoAct 미국나스닥채권혼합50액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(채권/미국 금융채 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, concentration token/default)",
0104N0,TIGER 200타겟위클리커버드콜,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (FX token/default),
0105D0,SOL 한국AI소프트웨어,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0111P0,1Q 미국나스닥100미국채혼합50액티브,classified_derived,derived_master,N,,기초지수 명시; 자산군·투자대상 추출(채권/미국 국채 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token),
0112X0,마이티 200TR,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default)",
0117L0,KODEX 26-12 금융채(AA-이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 금융채 만기미확인 AA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0117V0,TIGER 코리아AI전력기기TOP3플러스,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default)",
0118S0,SOL 미국넥스트테크TOP10액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default)",
0119H0,KODEX 28-12 회사채(AA-이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 AA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0122W0,RISE 26-11 회사채(AA-이상)액티브,classified_derived,official_index,N,RISE,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 AA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0123S0,HANARO 26-12 은행채(AA+이상)액티브,conflict_resolved,conflict_resolved,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(원자재/기타원자재 futures); 충돌 해소: 출처 우선순위와 구조 필드 기준,
0128D0,PLUS 차이나항셍테크위클리타겟커버드콜,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (concentration token/default),
0131A0,SOL 차이나소비트렌드,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/중국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0131W0,1Q 단기특수은행채액티브,conflict_resolved,conflict_resolved,N,,기초지수 명시; 자산군·투자대상 추출(원자재/기타원자재 futures); 충돌 해소: 출처 우선순위와 구조 필드 기준,
0132K0,PLUS 테슬라위클리커버드콜채권혼합,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(채권/미국 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (concentration token/default),
0138D0,RISE 동학개미,classified_derived,official_index,N,RISE,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0138Y0,PLUS 금채권혼합,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, concentration token/default)",
0139F0,TIGER 12월자동연장금융채(AA-이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 금융채 만기미확인 AA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0144M0,KODEX 미국드론UAM TOP10,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default)",
0151P0,RISE 코리아전략산업액티브,classified_derived,official_index,N,RISE,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0152E0,SOL 배당성향탑픽액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0155N0,HANARO K휴머노이드테마TOP10,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default)",
0162M0,KODEX 금융채1~2년(AA-이상)PLUS액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 금융채 만기미확인 AA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0162Y0,TIME 코스닥액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0163Y0,KoAct 코스닥액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0166N0,PLUS 코스닥150액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0166S0,PLUS K제조업핵심기업액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0166T0,PLUS 글로벌저작권핵심기업액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0167B0,SOL 200타겟위클리커버드콜,classified_derived,official_index,N,가능,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (FX token/default),
0172Y0,ACE K수출핵심TOP10산업액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default)",
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0178H0,IBK 미국AI TOP10국채혼합50,classified_derived,derived_master,N,,기초지수 명시; 자산군·투자대상 추출(채권/미국 국채 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token),
0182S0,1Q K반도체TOP2채권혼합50,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(채권/국내 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default)",
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,classified_derived,official_index,N,불가,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0184E0,1Q 200채권혼합50액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(채권/국내 채권 단기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default)",
0184L0,PLUS 중기종합채권(A-이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 중기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0184N0,PLUS 은채권혼합,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0184V0,UNICORN K바이오액티브,classified_derived,official_index,N,https://www.hyundaiam.com/upload/FUND_ANNT/doc_1780361663350_dedd.pdf,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(혼합자산/구성비율 미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0186S0,1Q 코스닥150채권혼합50액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(채권/국내 채권 단기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0190M0,KIWOOM 미국AI테크하이베타,classified_derived,official_index,N,불가,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, concentration token/default)",
0191B0,MIDAS 코스닥액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0191M0,마이티 5월만기자동연장특수채(AAA)액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(채권/국내 특수채 만기미확인 AAA); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0191S0,IBK 코스닥150,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0191W0,HANARO 중기종합채권(A-이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 중기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0192M0,RISE 삼성전자단일종목레버리지,classified_derived,official_index,N,불가,"기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(leveraged); 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (FX token/default, concentration token/default)",
0192S0,SOL 코스피200채권혼합50,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 만기미확인 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default)",
0192T0,SOL 코스닥TOP10,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default)",
0192Z0,TIGER 중기종합채권(A-이상)액티브,classified_derived,official_index,N,가능,"기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 중기 등급미확인); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, FX token/default, concentration token/default)",
0193G0,KoAct 코스피액티브,classified_derived,derived_master,N,,"기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (active/passive token, payoff token/default, FX token/default, concentration token/default)",
0193K0,PLUS 삼성전자단일종목레버리지,classified_derived,official_index,N,불가,"기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(leveraged); 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (FX token/default, concentration token/default)",
0193L0,PLUS 삼성전자선물단일종목인버스2X,classified_derived,official_index,N,불가,"기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(inverse); 자산군·투자대상 추출(주식/국내 미확인 주식전략); taxonomy 완료: 상품명·기초지수·원천 분류 필드 기반 (FX token/default, concentration token/default)",
