primary_peer_group_id,peer_group_name,member_count,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_structure,automatic_comparison_eligible,group_status_summary,classification_rationale
PG-주식-미국-대표지수-S-P500-미국-S-P500-S-P500-C-4d555d2df6,미국 S&P500 · covered_call,6,주식,미국,대표지수,S&P500,미국 S&P500,S&P500,covered_call|neutral|1X,Y,verified_official:6,"주식·미국 노출, 대표지수 / 미국 S&P500 투자대상, covered_call|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-금리-파킹-해당없음-금리-파킹-금리-파킹-KOFR-RATE-KOF-ad0fa05348,KOFR · rate_return,5,금리·파킹,해당없음,금리·파킹,금리·파킹,KOFR,RATE_KOFR-7c69b1923a,rate_return|neutral|1X,Y,verified_official:5,"금리·파킹·해당없음 노출, 금리·파킹 / KOFR 투자대상, rate_return|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-방산-국내-방산-방산-국내-방산-3C5B4A-491ece2be9,국내 방산 · plain,5,주식,국내,산업·섹터,방산,국내 방산,방산-국내-방산-3c5b4a7923,plain|neutral|1X,Y,verified_official:5,"주식·국내 노출, 산업·섹터 / 국내 방산 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-에너지-신재생에너지-국내-에너지-신재생에너지-b30abd3b1f,국내 에너지·신재생에너지 · plain,5,주식,국내,산업·섹터,에너지·신재생에너지,국내 에너지·신재생에너지,에너지-신재생에너지-국내-에너지-신재생에너지-b906c58a56,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:4,"주식·국내 노출, 산업·섹터 / 국내 에너지·신재생에너지 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-원자력-국내-원자력-원자력-국내-원자력-B7-60c6768519,국내 원자력 · plain,5,주식,국내,산업·섹터,원자력,국내 원자력,원자력-국내-원자력-b7d9bb5222,plain|neutral|1X,Y,verified_official:5,"주식·국내 노출, 산업·섹터 / 국내 원자력 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-배당-주주환원-고배당-미국-고배당-고배당-미국-고배당--25a2d26271,미국 고배당 · plain,5,주식,미국,배당·주주환원,고배당,미국 고배당,고배당-미국-고배당-8e56e7fe68,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:4,"주식·미국 노출, 배당·주주환원 / 미국 고배당 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-테마-우주항공-미국-우주항공-우주항공-미국-우주항공-3-9104cedb0d,미국 우주항공 · plain,5,주식,미국,테마,우주항공,미국 우주항공,우주항공-미국-우주항공-3a989c5ac3,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:4,"주식·미국 노출, 테마 / 미국 우주항공 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-규모-시가총액-국내-시가총액-시가총액-국내-시가총액-3-5397a04ffb,국내 시가총액 · plain,4,주식,국내,규모,시가총액,국내 시가총액,시가총액-국내-시가총액-38d7e2985f,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:3,"주식·국내 노출, 규모 / 국내 시가총액 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-단일-소수종목-단일종목-국내-단일종목-단일종목-국내-단-962bdbee44,국내 단일종목 · plain,4,주식,국내,단일·소수종목,단일종목,국내 단일종목,단일종목-국내-단일종목-d786075d21,plain|neutral|1X,Y,verified_official:4,"주식·국내 노출, 단일·소수종목 / 국내 단일종목 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-배당-주주환원-고배당-국내-고배당-고배당-국내-고배당--572ba3d36c,국내 고배당 · covered_call,4,주식,국내,배당·주주환원,고배당,국내 고배당,고배당-국내-고배당-2325fcd2e0,covered_call|neutral|1X,Y,verified_official:4,"주식·국내 노출, 배당·주주환원 / 국내 고배당 투자대상, covered_call|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-반도체-장비-소부장-국내-반도체-장비-소부장-d86296eebd,국내 반도체 장비·소부장 · plain,4,주식,국내,산업·섹터,반도체 장비·소부장,국내 반도체 장비·소부장,반도체-장비-소부장-국내-반도체-장비-소부장-31b73133bd,plain|neutral|1X,Y,verified_official:4,"주식·국내 노출, 산업·섹터 / 국내 반도체 장비·소부장 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-자동차-모빌리티-국내-자동차-모빌리티-자동차-7f7ba1f1bb,국내 자동차·모빌리티 · plain,4,주식,국내,산업·섹터,자동차·모빌리티,국내 자동차·모빌리티,자동차-모빌리티-국내-자동차-모빌리티-8d473faf1b,plain|neutral|1X,Y,verified_official:4,"주식·국내 노출, 산업·섹터 / 국내 자동차·모빌리티 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-철강-화학-국내-철강-화학-철강-화학-국내--f891fc6f8c,국내 철강·화학 · plain,4,주식,국내,산업·섹터,철강·화학,국내 철강·화학,철강-화학-국내-철강-화학-2baeb11d7e,plain|neutral|1X,Y,verified_official:4,"주식·국내 노출, 산업·섹터 / 국내 철강·화학 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-테마-로봇-국내-로봇-로봇-국내-로봇-6DD0A9F99-803709433d,국내 로봇 · plain,4,주식,국내,테마,로봇,국내 로봇,로봇-국내-로봇-6dd0a9f990,plain|neutral|1X,Y,verified_official:4,"주식·국내 노출, 테마 / 국내 로봇 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-테마-인공지능-인공지능-일반-인공지능-인공지능-일반-4-acaf9c435b,인공지능 일반 · plain,4,주식,국내,테마,인공지능,인공지능 일반,인공지능-인공지능-일반-4ef7c7155f,plain|neutral|1X,Y,auto_high_confidence:2; verified_official:2,"주식·국내 노출, 테마 / 인공지능 일반 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-대표지수-나스닥100-미국-나스닥100-NASDAQ10-df258b5b40,미국 나스닥100 · covered_call,4,주식,미국,대표지수,나스닥100,미국 나스닥100,NASDAQ100,covered_call|neutral|1X,Y,verified_official:4,"주식·미국 노출, 대표지수 / 미국 나스닥100 투자대상, covered_call|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-배당-주주환원-배당다우존스-미국-배당다우존스-DOW-J-6a7ebd2885,미국 배당다우존스 · covered_call,4,주식,미국,배당·주주환원,배당다우존스,미국 배당다우존스,DOW_JONES_DIVIDEND,covered_call|neutral|1X,Y,verified_official:4,"주식·미국 노출, 배당·주주환원 / 미국 배당다우존스 투자대상, covered_call|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-산업-섹터-원자력-미국-원자력-원자력-미국-원자력-7E-dd53fbdb95,미국 원자력 · plain,4,주식,미국,산업·섹터,원자력,미국 원자력,원자력-미국-원자력-7e5331965a,plain|neutral|1X,Y,verified_official:4,"주식·미국 노출, 산업·섹터 / 미국 원자력 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-테마-로봇-미국-로봇-로봇-미국-로봇-354B9654F-e44c44095f,미국 로봇 · plain,4,주식,미국,테마,로봇,미국 로봇,로봇-미국-로봇-354b9654fa,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:3,"주식·미국 노출, 테마 / 미국 로봇 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-테마-양자컴퓨팅-미국-양자컴퓨팅-양자컴퓨팅-미국-양자컴-ae6e988fe3,미국 양자컴퓨팅 · plain,4,주식,미국,테마,양자컴퓨팅,미국 양자컴퓨팅,양자컴퓨팅-미국-양자컴퓨팅-16444cc34b,plain|neutral|1X,Y,verified_official:4,"주식·미국 노출, 테마 / 미국 양자컴퓨팅 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-중국-테마-인공지능-인공지능-일반-인공지능-인공지능-일반-4-e576ffa409,인공지능 일반 · plain,4,주식,중국,테마,인공지능,인공지능 일반,인공지능-인공지능-일반-4ef7c7155f,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:3,"주식·중국 노출, 테마 / 인공지능 일반 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-금리-파킹-해당없음-금리-파킹-금리-파킹-초단기-금리-RATE-초-143b38635b,초단기 금리 · rate_return,3,금리·파킹,해당없음,금리·파킹,금리·파킹,초단기 금리,RATE_초단기-금리-70f35d000d,rate_return|short|2X,Y,verified_official:3,"금리·파킹·해당없음 노출, 금리·파킹 / 초단기 금리 투자대상, rate_return|short|2X 수익·손실 구조를 공통 기준으로 사용"
PG-금리-파킹-해당없음-금리-파킹-금리-파킹-초단기-금리-RATE-초-353bff571a,초단기 금리 · rate_return,3,금리·파킹,해당없음,금리·파킹,금리·파킹,초단기 금리,RATE_초단기-금리-70f35d000d,rate_return|long|2X,Y,verified_official:3,"금리·파킹·해당없음 노출, 금리·파킹 / 초단기 금리 투자대상, rate_return|long|2X 수익·손실 구조를 공통 기준으로 사용"
PG-금리-파킹-해당없음-금리-파킹-금리-파킹-초단기-금리-RATE-초-42bd95eafc,초단기 금리 · rate_return,3,금리·파킹,해당없음,금리·파킹,금리·파킹,초단기 금리,RATE_초단기-금리-70f35d000d,rate_return|short|1X,Y,verified_official:3,"금리·파킹·해당없음 노출, 금리·파킹 / 초단기 금리 투자대상, rate_return|short|1X 수익·손실 구조를 공통 기준으로 사용"
PG-리츠-인프라-글로벌-리츠-인프라-리츠-인프라-글로벌-리츠-인프라--53239532c7,글로벌 리츠·인프라 · plain,3,리츠·인프라,글로벌,리츠·인프라,리츠·인프라,글로벌 리츠·인프라,리츠-인프라-글로벌-리츠-인프라-17424845f2,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:2,"리츠·인프라·글로벌 노출, 리츠·인프라 / 글로벌 리츠·인프라 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-금-금-FUTURES-COMMODITY-금-ee93d7746a,금 futures · futures,3,원자재,해당없음,원자재,금,금 futures,COMMODITY_금-FUTURES-0733949e87,futures|neutral|1X,Y,verified_official:3,"원자재·해당없음 노출, 원자재 / 금 futures 투자대상, futures|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-기타원자재-기타원자재-FUTURES-COM-c6ca4488b8,기타원자재 futures · futures,3,원자재,해당없음,원자재,기타원자재,기타원자재 futures,COMMODITY_기타원자재-FUTURES-e9bbd8bb27,futures|neutral|1X,Y,verified_official:3,"원자재·해당없음 노출, 원자재 / 기타원자재 futures 투자대상, futures|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-기타원자재-기타원자재-SPOT-COMMOD-248f4f27d3,기타원자재 spot · spot,3,원자재,해당없음,원자재,기타원자재,기타원자재 spot,COMMODITY_기타원자재-SPOT-a5b41ca776,spot|neutral|1X,Y,verified_official:3,"원자재·해당없음 노출, 원자재 / 기타원자재 spot 투자대상, spot|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-대표지수-코스피200-국내-코스피200-KOSPI200-b519363da3,국내 코스피200 · plain,3,주식,국내,대표지수,코스피200,국내 코스피200,KOSPI200,plain|neutral|1X,Y,verified_official:3,"주식·국내 노출, 대표지수 / 국내 코스피200 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-테마-기후테크-국내-기후테크-기후테크-국내-기후테크-3-420b355700,국내 기후테크 · plain,3,주식,국내,테마,기후테크,국내 기후테크,기후테크-국내-기후테크-379d660750,plain|neutral|1X,Y,verified_official:3,"주식·국내 노출, 테마 / 국내 기후테크 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-테마-인공지능-AI-반도체-인공지능-AI-반도체-A90-7e63fd0b56,AI 반도체 · plain,3,주식,국내,테마,인공지능,AI 반도체,인공지능-AI-반도체-a909322117,plain|neutral|1X,Y,verified_official:3,"주식·국내 노출, 테마 / AI 반도체 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-글로벌-산업-섹터-반도체-글로벌-반도체-반도체-글로벌-반도체-69a7b2bb67,글로벌 반도체 · plain,3,주식,글로벌,산업·섹터,반도체,글로벌 반도체,반도체-글로벌-반도체-84ce634468,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:2,"주식·글로벌 노출, 산업·섹터 / 글로벌 반도체 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-산업-섹터-바이오-제약-헬스케어-미국-바이오-제약-헬스-f35c02e78a,미국 바이오·제약·헬스케어 · plain,3,주식,미국,산업·섹터,바이오·제약·헬스케어,미국 바이오·제약·헬스케어,바이오-제약-헬스케어-미국-바이오-제약-헬스케어-f63af70ccd,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:2,"주식·미국 노출, 산업·섹터 / 미국 바이오·제약·헬스케어 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-산업-섹터-방산-미국-방산-방산-미국-방산-E722FD-b31baa9184,미국 방산 · plain,3,주식,미국,산업·섹터,방산,미국 방산,방산-미국-방산-e722fd3acf,plain|neutral|1X,Y,verified_official:3,"주식·미국 노출, 산업·섹터 / 미국 방산 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-산업-섹터-에너지-신재생에너지-미국-에너지-신재생에너지-2dd652bc89,미국 에너지·신재생에너지 · plain,3,주식,미국,산업·섹터,에너지·신재생에너지,미국 에너지·신재생에너지,에너지-신재생에너지-미국-에너지-신재생에너지-ea46e1131c,plain|neutral|1X,Y,verified_official:3,"주식·미국 노출, 산업·섹터 / 미국 에너지·신재생에너지 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-산업-섹터-자동차-모빌리티-미국-자동차-모빌리티-자동차-d37f4277a0,미국 자동차·모빌리티 · plain,3,주식,미국,산업·섹터,자동차·모빌리티,미국 자동차·모빌리티,자동차-모빌리티-미국-자동차-모빌리티-6f7e32a606,plain|neutral|1X,Y,verified_official:3,"주식·미국 노출, 산업·섹터 / 미국 자동차·모빌리티 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-구리-구리-FUTURES-COMMODITY-0d3891b334,구리 futures · futures,2,원자재,해당없음,원자재,구리,구리 futures,COMMODITY_구리-FUTURES-1f0ca342fc,futures|neutral|1X,Y,verified_official:2,"원자재·해당없음 노출, 원자재 / 구리 futures 투자대상, futures|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-농산물-농산물-FUTURES-COMMODI-598353d61b,농산물 futures · futures,2,원자재,해당없음,원자재,농산물,농산물 futures,COMMODITY_농산물-FUTURES-50a7e474e9,futures|neutral|1X,Y,verified_official:2,"원자재·해당없음 노출, 원자재 / 농산물 futures 투자대상, futures|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-원유-원유-FUTURES-COMMODITY-4f348a3707,원유 futures · futures,2,원자재,해당없음,원자재,원유,원유 futures,COMMODITY_원유-FUTURES-601b9bd6ca,futures|short|1X,Y,verified_official:2,"원자재·해당없음 노출, 원자재 / 원유 futures 투자대상, futures|short|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-원유-원유-FUTURES-COMMODITY-8e4ab58f78,원유 futures · futures,2,원자재,해당없음,원자재,원유,원유 futures,COMMODITY_원유-FUTURES-601b9bd6ca,futures|neutral|1X,Y,verified_official:2,"원자재·해당없음 노출, 원자재 / 원유 futures 투자대상, futures|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-은-은-SPOT-COMMODITY-은-SP-451011c73c,은 spot · spot,2,원자재,해당없음,원자재,은,은 spot,COMMODITY_은-SPOT-78e852edc3,spot|neutral|1X,Y,auto_high_confidence:1; verified_official:1,"원자재·해당없음 노출, 원자재 / 은 spot 투자대상, spot|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-원자재-해당없음-원자재-천연가스-천연가스-FUTURES-COMMO-1ebe888699,천연가스 futures · futures,2,원자재,해당없음,원자재,천연가스,천연가스 futures,COMMODITY_천연가스-FUTURES-4d3c917bd2,futures|neutral|1X,Y,auto_high_confidence:1; verified_official:1,"원자재·해당없음 노출, 원자재 / 천연가스 futures 투자대상, futures|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-2차전지-배터리-소재-국내-2차전지-배터리--569fca1653,국내 2차전지·배터리 소재 · leveraged,2,주식,국내,산업·섹터,2차전지·배터리 소재,국내 2차전지·배터리 소재,2차전지-배터리-소재-국내-2차전지-배터리-소재-1367e96ce1,leveraged|long|2X,Y,verified_official:2,"주식·국내 노출, 산업·섹터 / 국내 2차전지·배터리 소재 투자대상, leveraged|long|2X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-건설-인프라-국내-건설-인프라-건설-인프라--b65bc03b95,국내 건설·인프라 · plain,2,주식,국내,산업·섹터,건설·인프라,국내 건설·인프라,건설-인프라-국내-건설-인프라-072eb0d753,plain|neutral|1X,Y,verified_official:2,"주식·국내 노출, 산업·섹터 / 국내 건설·인프라 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
